,CellID,area,area_bbox,area_convex,area_filled,axis_major_length,axis_minor_length,eccentricity,equivalent_diameter_area,extent,feret_diameter_max
0,1.0,246.0,328.0,257.0,246.0,40.46619557595504,8.256553125745999,0.9789634246939438,17.697935698969246,0.75,41.012193308819754
1,2.0,1289.0,1564.0,1318.0,1289.0,48.566150161316735,34.2587671393488,0.708805255544215,40.511797950271536,0.8241687979539642,48.84669896727925
2,3.0,236.0,310.0,245.0,236.0,31.561516448645385,10.044883977072566,0.9480022351999507,17.334489682638438,0.7612903225806451,31.144823004794873
3,4.0,26.0,36.0,30.0,26.0,10.148462410887571,3.3762765347614376,0.9430367835950293,5.753627391751592,0.7222222222222222,9.219544457292887
4,5.0,1745.0,2310.0,1787.0,1745.0,57.16599885373107,39.092624522966815,0.7296282633889885,47.136005405240475,0.7554112554112554,57.0087712549569
5,6.0,30.0,39.0,33.0,30.0,13.66407806568605,2.8526154769407333,0.9779653005755361,6.180387232371033,0.7692307692307693,13.038404810405298
6,7.0,1839.0,2601.0,1875.0,1839.0,57.9702011757996,40.47448548628406,0.7159079568119805,48.3889194213713,0.707035755478662,57.42821606144492
7,8.0,1395.0,1824.0,1431.0,1395.0,46.746048314477505,38.82480678218601,0.5569480147889222,42.14462201640385,0.7648026315789473,48.662100242385755
8,9.0,323.0,420.0,334.0,323.0,41.59159157167147,10.551683598723473,0.9672836030778938,20.279456919490165,0.7690476190476191,42.04759208325728
9,10.0,1951.0,2652.0,1989.0,1951.0,58.08460595038848,42.81005929718817,0.675860739391913,49.84064959225855,0.7356711915535445,58.249463516842795
10,11.0,1743.0,2209.0,1780.0,1743.0,48.299047927240665,45.97667417016574,0.3063567272652586,47.108985623481516,0.7890448166591217,49.73932046178355
11,12.0,622.0,900.0,636.0,622.0,43.614641798817075,19.804027705317246,0.8909668617699557,28.14169498849121,0.6911111111111111,45.17742799230607
12,13.0,2293.0,2964.0,2338.0,2293.0,60.192468185951135,48.83379136724982,0.5846383176478321,54.03275188325807,0.7736167341430499,61.773780845922005
13,14.0,1686.0,2240.0,1757.0,1686.0,65.77683213587383,33.37457531225181,0.8617159229141412,46.33229837190774,0.7526785714285714,64.93843238021688
14,15.0,1546.0,1836.0,1582.0,1546.0,52.25712158479749,37.99393228521966,0.6865765716017147,44.36697348434488,0.8420479302832244,51.478150704935004
15,16.0,1741.0,2303.0,1779.0,1741.0,48.10072809669686,46.1287411919744,0.2833960127084045,47.081950335387745,0.7559704732957012,49.8196748283246
16,17.0,1810.0,2400.0,1846.0,1810.0,52.3830270941201,44.05922408684131,0.540883800775703,48.0058702240741,0.7541666666666667,52.92447448959697
17,18.0,315.0,423.0,332.0,315.0,46.54057528110187,9.324299017971844,0.979724850953246,20.026743534373637,0.7446808510638298,47.042533945356304
18,19.0,2428.0,3120.0,2472.0,2428.0,60.14667235661279,51.442708595573905,0.5181534169618914,55.60059005637418,0.7782051282051282,61.84658438426491
19,20.0,2512.0,3363.0,2562.0,2512.0,65.70117661289858,48.812507577062654,0.6693499863905988,56.554201757028885,0.7469521260779066,66.61080993352356
20,21.0,990.0,1323.0,1012.0,990.0,46.63872515166259,28.964647095800974,0.7837766073833077,35.50362163621919,0.7482993197278912,49.09175083453431
21,22.0,1809.0,2394.0,1849.0,1809.0,58.816528403236404,40.622678836216394,0.7231722276372801,47.99260710178089,0.7556390977443609,63.28506932918696
22,23.0,1016.0,1344.0,1037.0,1016.0,55.47061285576207,24.84876312426844,0.8940522679738422,35.96680938658481,0.7559523809523809,56.43580423808985
23,24.0,72.0,84.0,74.0,72.0,21.633258129089228,4.311445520156926,0.9799391142120072,9.574614729634384,0.8571428571428571,21.02379604162864
